DrugBank ID,Name,Type,UniProt ID,UniProt Name,SMILES
DB00449,Dipivefrin,SmallMoleculeDrug,P22303,Acetylcholinesterase,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
DB00450,Droperidol,SmallMoleculeDrug,P14416,D(2) dopamine receptor,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
DB00450,Droperidol,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
DB00451,Levothyroxine,SmallMoleculeDrug,P10828,Thyroid hormone receptor beta,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
DB00451,Levothyroxine,SmallMoleculeDrug,P10827,Thyroid hormone receptor alpha,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
DB00451,Levothyroxine,SmallMoleculeDrug,P06756,Integrin alpha-V,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
DB00451,Levothyroxine,SmallMoleculeDrug,P05106,Integrin beta-3,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
DB00452,Framycetin,SmallMoleculeDrug,P0A7S3,30S ribosomal protein S12,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
DB00452,Framycetin,SmallMoleculeDrug,P61073,C-X-C chemokine receptor type 4,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
DB00453,Clomocycline,SmallMoleculeDrug,P0A7V8,30S ribosomal protein S4,CN(C)[C@@H]1C(O)=C(C(=O)NCO)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12
DB00453,Clomocycline,SmallMoleculeDrug,P0A7X3,30S ribosomal protein S9,CN(C)[C@@H]1C(O)=C(C(=O)NCO)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12
DB00454,Meperidine,SmallMoleculeDrug,P41145,Kappa-type opioid receptor,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,Q05586,"Glutamate receptor ionotropic, NMDA 1",CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,Q13224,"Glutamate receptor ionotropic, NMDA 2B",CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,Q12879,"Glutamate receptor ionotropic, NMDA 2A",CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,Q14957,"Glutamate receptor ionotropic, NMDA 2C",CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,O15399,"Glutamate receptor ionotropic, NMDA 2D",CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,P08912,Muscarinic acetylcholine receptor M5,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,P35372,Mu-type opioid receptor,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00454,Meperidine,SmallMoleculeDrug,P23141,Liver carboxylesterase 1,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
DB00455,Loratadine,SmallMoleculeDrug,P35367,Histamine H1 receptor,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
DB00455,Loratadine,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
DB00456,Cefalotin,SmallMoleculeDrug,P15555,D-alanyl-D-alanine carboxypeptidase,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
DB00456,Cefalotin,SmallMoleculeDrug,Q8DR59,Penicillin-binding protein 1A,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
DB00456,Cefalotin,SmallMoleculeDrug,Q7CRA4,Penicillin-binding protein 1b,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
DB00456,Cefalotin,SmallMoleculeDrug,Q75Y35,Penicillin-binding protein 3,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
DB00456,Cefalotin,SmallMoleculeDrug,Q8DNB6,Penicillin-binding protein 2a,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
DB00456,Cefalotin,SmallMoleculeDrug,P0A3M6,Penicillin-binding protein 2B,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
DB00456,Cefalotin,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
DB00456,Cefalotin,SmallMoleculeDrug,P00811,Beta-lactamase,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
DB00457,Prazosin,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00457,Prazosin,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00457,Prazosin,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00457,Prazosin,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00457,Prazosin,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00457,Prazosin,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00457,Prazosin,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00457,Prazosin,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00457,Prazosin,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
DB00458,Imipramine,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P35367,Histamine H1 receptor,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P08912,Muscarinic acetylcholine receptor M5,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,Q9NZV8,Potassium voltage-gated channel subfamily D member 2,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,Q9UK17,Potassium voltage-gated channel subfamily D member 3,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P34969,5-hydroxytryptamine receptor 7,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P21728,D(1A) dopamine receptor,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P21918,D(1B) dopamine receptor,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P14416,D(2) dopamine receptor,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P50406,5-hydroxytryptamine receptor 6,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,O95259,Potassium voltage-gated channel subfamily H member 1,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00458,Imipramine,SmallMoleculeDrug,P19652,Alpha-1-acid glycoprotein 2,CN(C)CCCN1c2ccccc2CCc2ccccc21
DB00459,Acitretin,SmallMoleculeDrug,P19793,Retinoic acid receptor RXR-alpha,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
DB00459,Acitretin,SmallMoleculeDrug,P10276,Retinoic acid receptor alpha,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
DB00459,Acitretin,SmallMoleculeDrug,P10826,Retinoic acid receptor beta,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
DB00459,Acitretin,SmallMoleculeDrug,P13631,Retinoic acid receptor gamma,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
DB00459,Acitretin,SmallMoleculeDrug,P28702,Retinoic acid receptor RXR-beta,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
DB00459,Acitretin,SmallMoleculeDrug,P48443,Retinoic acid receptor RXR-gamma,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
DB00459,Acitretin,SmallMoleculeDrug,P09455,Retinol-binding protein 1,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
DB00461,Nabumetone,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2,COc1ccc2cc(CCC(C)=O)ccc2c1
DB00461,Nabumetone,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1,COc1ccc2cc(CCC(C)=O)ccc2c1
DB00462,Methscopolamine bromide,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21.[Br-]
DB00462,Methscopolamine bromide,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21.[Br-]
DB00462,Methscopolamine bromide,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21.[Br-]
DB00463,Metharbital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P43681,Neuronal acetylcholine receptor subunit alpha-4,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P42262,Glutamate receptor 2,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,Q13002,"Glutamate receptor ionotropic, kainate 2",CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00463,Metharbital,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta,CCC1(CC)C(=O)NC(=O)N(C)C1=O
DB00464,Sodium tetradecyl sulfate,SmallMoleculeDrug,P04070,Vitamin K-dependent protein C,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+]
DB00464,Sodium tetradecyl sulfate,SmallMoleculeDrug,P07225,Vitamin K-dependent protein S,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+]
DB00465,Ketorolac,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
DB00465,Ketorolac,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
DB00466,Picrotoxin,SmallMoleculeDrug,P24046,Gamma-aminobutyric acid receptor subunit rho-1,C=C(C)[C@@H]1C2OC(=O)C1[C@]1(O)CC3O[C@]34C(=O)O[C@H]2[C@@]41C.CC(C)(O)[C@@H]1C2OC(=O)C1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@@]41C
DB00466,Picrotoxin,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,C=C(C)[C@@H]1C2OC(=O)C1[C@]1(O)CC3O[C@]34C(=O)O[C@H]2[C@@]41C.CC(C)(O)[C@@H]1C2OC(=O)C1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@@]41C
DB00466,Picrotoxin,SmallMoleculeDrug,P23416,Glycine receptor subunit alpha-2,C=C(C)[C@@H]1C2OC(=O)C1[C@]1(O)CC3O[C@]34C(=O)O[C@H]2[C@@]41C.CC(C)(O)[C@@H]1C2OC(=O)C1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@@]41C
DB00466,Picrotoxin,SmallMoleculeDrug,O75311,Glycine receptor subunit alpha-3,C=C(C)[C@@H]1C2OC(=O)C1[C@]1(O)CC3O[C@]34C(=O)O[C@H]2[C@@]41C.CC(C)(O)[C@@H]1C2OC(=O)C1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@@]41C
DB00466,Picrotoxin,SmallMoleculeDrug,P23415,Glycine receptor subunit alpha-1,C=C(C)[C@@H]1C2OC(=O)C1[C@]1(O)CC3O[C@]34C(=O)O[C@H]2[C@@]41C.CC(C)(O)[C@@H]1C2OC(=O)C1[C@]1(O)C[C@H]3O[C@]34C(=O)O[C@H]2[C@@]41C
DB00467,Enoxacin,SmallMoleculeDrug,P43700,DNA gyrase subunit A,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
DB00467,Enoxacin,SmallMoleculeDrug,P43702,DNA topoisomerase 4 subunit A,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
DB00467,Enoxacin,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
DB00468,Quinine,SmallMoleculeDrug,P14770,Platelet glycoprotein IX,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
DB00468,Quinine,SmallMoleculeDrug,O15554,Intermediate conductance calcium-activated potassium channel protein 4,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
DB00469,Tenoxicam,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
DB00469,Tenoxicam,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
DB00470,Dronabinol,SmallMoleculeDrug,P21554,Cannabinoid receptor 1,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
DB00470,Dronabinol,SmallMoleculeDrug,P34972,Cannabinoid receptor 2,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
DB00471,Montelukast,SmallMoleculeDrug,P09917,Arachidonate 5-lipoxygenase,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
DB00471,Montelukast,SmallMoleculeDrug,Q9Y271,Cysteinyl leukotriene receptor 1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
DB00472,Fluoxetine,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
DB00472,Fluoxetine,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
DB00472,Fluoxetine,SmallMoleculeDrug,Q15822,Neuronal acetylcholine receptor subunit alpha-2,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
DB00472,Fluoxetine,SmallMoleculeDrug,P32297,Neuronal acetylcholine receptor subunit alpha-3,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
DB00472,Fluoxetine,SmallMoleculeDrug,P30926,Neuronal acetylcholine receptor subunit beta-4,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
DB00472,Fluoxetine,SmallMoleculeDrug,P61024,Cyclin-dependent kinases regulatory subunit 1,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
DB00472,Fluoxetine,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
DB00473,Hexylcaine,SmallMoleculeDrug,Q9Y5Y9,Sodium channel protein type 10 subunit alpha,CC(CNC1CCCCC1)OC(=O)c1ccccc1
DB00473,Hexylcaine,SmallMoleculeDrug,Q14524,Sodium channel protein type 5 subunit alpha,CC(CNC1CCCCC1)OC(=O)c1ccccc1
DB00474,Methohexital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
DB00475,Chlordiazepoxide,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
